budget,language,popularity,date,revenue,title,rating,vote_count,Drama,Action,Adventure,Comedy,Horror,Science Fiction,History,Others
100000,en,5.113205,2/8/1915,11000000,The Birth of a Nation,6.4,109,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
17311,en,0.680407,12/13/1915,137365,The Cheat,4.8,11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
250000,en,8.168456,1/21/1921,2500000,The Kid,8,404,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1100000,en,0.838095,1/11/1922,400200,Foolish Wives,6.4,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1135654,en,3.878515,3/18/1924,1213880,The Thief of Bagdad,7.4,37,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
923000,en,6.202041,6/25/1925,2500000,The Gold Rush,7.7,308,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
103000,en,1.345287,9/16/1925,704000,The Unholy Three,5.8,11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
245000,en,2.084627,11/5/1925,22000000,The Big Parade,7,22,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3900000,en,2.301098,12/30/1925,9000000,Ben-Hur: A Tale of the Christ,7.3,20,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
373000,en,0.765315,12/25/1926,658000,Flesh and the Devil,7.9,11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
92620000,de,14.487867,1/10/1927,650422,Metropolis,8,666,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
379000,en,0.758012,2/8/1929,4358000,The Broadway Melody,5,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3950000,en,5.276546,11/15/1930,8000000,Hell's Angels,6.1,19,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1500000,en,10.891524,1/30/1931,19181,City Lights,8.2,444,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
355000,en,7.503126,2/12/1931,1012189,Dracula,7.2,254,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
291000,en,8.091603,11/21/1931,12000000,Frankenstein,7.3,295,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
700000,en,11.118844,5/25/1932,2594000,Grand Hotel,6.5,67,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
439000,en,4.718154,2/2/1933,2281000,42nd Street,6.1,38,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1180280,en,1.196324,2/8/1933,7630000,Cavalcade,4.6,17,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
200000,en,1.840758,2/9/1933,2200000,She Done Him Wrong,5.2,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
672000,en,8.73274,4/7/1933,10000000,King Kong,7.7,346,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1114000,en,2.886254,12/26/1933,2610000,Queen Christina,6.8,24,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
325000,en,6.465257,2/22/1934,4500000,It Happened One Night,7.7,283,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
226408,en,10.573867,5/25/1934,1423000,The Thin Man,7.4,97,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
243000,en,2.000496,5/9/1935,950000,The Informer,6.5,23,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1152000,en,1.810574,8/30/1935,1439000,Anna Karenina,6.6,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
